wandb: Detected [openai] in use.
wandb: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
wandb: For more information, check out the docs at: https://weave-docs.wandb.ai/
Checkpoint tracker file does not exist: /home/ykwang/mtdata2/DRRO/grpo/latest_checkpointed_iteration.txt
Training from scratch
("Initial validation metrics: {'val/proxy_mean': 1.5485455114394426, "
 "'val/gold_mean': 2.4229258933337405, 'val/kl': 0.0}")
step:0 - val/proxy_mean:1.5485455114394426 - val/gold_mean:2.4229258933337405 - val/kl:0.0
Training Progress:   1%|          | 24/2000 [33:04<45:19:55, 82.59s/it]
step:1 - global_seqlen/min:3234 - global_seqlen/max:3451 - global_seqlen/minmax_diff:217 - global_seqlen/balanced_min:3336 - global_seqlen/balanced_max:3339 - global_seqlen/mean:3337.6666666666665 - actor/entropy:1.7678320407867432 - perf/mfu/actor_infer:0 - actor/pg_loss:1.430614953353467e-08 - actor/kl_loss:0.0 - actor/pg_clipfrac:0.0 - actor/ppo_kl:0.0 - actor/pg_clipfrac_lower:0.0 - actor/kl_coef:0.01 - actor/grad_norm:0.29726842045783997 - perf/mfu/actor:0.0 - perf/max_memory_allocated_gb:24.41482639312744 - perf/max_memory_reserved_gb:24.5859375 - perf/cpu_memory_used_gb:33.34995651245117 - actor/lr:1e-05 - training/global_step:1 - training/epoch:0 - train/reward_mean:0.8734373526854647 - critic/score/mean:0.8734373450279236 - critic/score/max:2.8662469387054443 - critic/score/min:-2.862360954284668 - critic/rewards/mean:0.8734373450279236 - critic/rewards/max:2.8662469387054443 - critic/rewards/min:-2.862360954284668 - critic/advantages/mean:0.004250288475304842 - critic/advantages/max:2.103675127029419 - critic/advantages/min:-2.23240327835083 - critic/returns/mean:0.004250288475304842 - critic/returns/max:2.103675127029419 - critic/returns/min:-2.23240327835083 - response_length/mean:123.06944274902344 - response_length/max:128.0 - response_length/min:51.0 - response_length/clip_ratio:0.8888888955116272 - response_length_non_aborted/mean:123.06944274902344 - response_length_non_aborted/max:128.0 - response_length_non_aborted/min:51.0 - response_length_non_aborted/clip_ratio:0.8888888955116272 - response/aborted_ratio:0.0 - prompt_length/mean:16.0 - prompt_length/max:20.0 - prompt_length/min:11.0 - prompt_length/clip_ratio:0.0 - num_turns/min:2 - num_turns/max:2 - num_turns/mean:2.0 - timing_s/start_profile:4.535098560154438e-05 - timing_s/agent_loop/generate_sequences/min:0.4399338589864783 - timing_s/agent_loop/generate_sequences/max:4.409564122033771 - timing_s/agent_loop/generate_sequences/mean:2.843601694387164 - timing_s/agent_loop/tool_calls/min:0.0 - timing_s/agent_loop/tool_calls/max:0.0 - timing_s/agent_loop/tool_calls/mean:0.0 - timing_s/agent_loop/slowest/generate_sequences:4.409564122033771 - timing_s/agent_loop/slowest/tool_calls:0.0 - timing_s/agent_loop/slowest/prompt_length:11 - timing_s/agent_loop/slowest/response_length:128 - timing_s/gen:12.483298584993463 - timing_s/reward:1.24252907600021 - timing_s/old_log_prob:14.316779715998564 - timing_s/ref:10.46506798802875 - timing_s/adv:0.005498786049429327 - timing_s/update_actor:45.89012084796559 - timing_s/step:84.42584660003195 - timing_s/stop_profile:0.00011539302067831159 - timing_per_token_ms/ref:1.0451481062647308 - timing_per_token_ms/adv:0.0005491646908448345 - timing_per_token_ms/update_actor:4.583054114447777 - timing_per_token_ms/gen:1.4087911731174205 - perf/total_num_tokens:10013 - perf/time_per_step:84.42584660003195 - perf/throughput:39.533706809940405
step:2 - global_seqlen/min:3240 - global_seqlen/max:3470 - global_seqlen/minmax_diff:230 - global_seqlen/balanced_min:3320 - global_seqlen/balanced_max:3421 - global_seqlen/mean:3360.3333333333335 - actor/entropy:1.9152520895004272 - perf/mfu/actor_infer:0 - actor/pg_loss:4.022796123992478e-09 - actor/kl_loss:0.0008940198046426909 - actor/pg_clipfrac:0.0 - actor/ppo_kl:0.0 - actor/pg_clipfrac_lower:0.0 - actor/kl_coef:0.01 - actor/grad_norm:0.32766324281692505 - perf/mfu/actor:0.0 - perf/max_memory_allocated_gb:24.41482639312744 - perf/max_memory_reserved_gb:24.5859375 - perf/cpu_memory_used_gb:33.38884353637695 - actor/lr:1e-05 - training/global_step:2 - training/epoch:0 - train/reward_mean:1.2770271228833332 - critic/score/mean:1.2770271301269531 - critic/score/max:4.095378875732422 - critic/score/min:-3.129068374633789 - critic/rewards/mean:1.2770271301269531 - critic/rewards/max:4.095378875732422 - critic/rewards/min:-3.129068374633789 - critic/advantages/mean:0.013655559159815311 - critic/advantages/max:1.8861216306686401 - critic/advantages/min:-2.0988330841064453 - critic/returns/mean:0.013655559159815311 - critic/returns/max:1.8861216306686401 - critic/returns/min:-2.0988330841064453 - response_length/mean:124.56944274902344 - response_length/max:128.0 - response_length/min:7.0 - response_length/clip_ratio:0.9305555820465088 - response_length_non_aborted/mean:124.56944274902344 - response_length_non_aborted/max:128.0 - response_length_non_aborted/min:7.0 - response_length_non_aborted/clip_ratio:0.9305555820465088 - response/aborted_ratio:0.0 - prompt_length/mean:15.44444465637207 - prompt_length/max:25.0 - prompt_length/min:11.0 - prompt_length/clip_ratio:0.0 - num_turns/min:2 - num_turns/max:2 - num_turns/mean:2.0 - timing_s/start_profile:9.380304254591465e-05 - timing_s/agent_loop/generate_sequences/min:0.1096254899748601 - timing_s/agent_loop/generate_sequences/max:4.642326205037534 - timing_s/agent_loop/generate_sequences/mean:3.4675731543053794 - timing_s/agent_loop/tool_calls/min:0.0 - timing_s/agent_loop/tool_calls/max:0.0 - timing_s/agent_loop/tool_calls/mean:0.0 - timing_s/agent_loop/slowest/generate_sequences:4.642326205037534 - timing_s/agent_loop/slowest/tool_calls:0.0 - timing_s/agent_loop/slowest/prompt_length:11 - timing_s/agent_loop/slowest/response_length:128 - timing_s/gen:12.168110047001392 - timing_s/reward:1.158718210994266 - timing_s/old_log_prob:14.342456476995721 - timing_s/ref:10.477031918009743 - timing_s/adv:0.005190386960748583 - timing_s/update_actor:44.69980663800379 - timing_s/step:82.87399073399138 - timing_s/stop_profile:0.00013559404760599136 - timing_per_token_ms/ref:1.0392849834351496 - timing_per_token_ms/adv:0.0005148682631433968 - timing_per_token_ms/update_actor:4.4340647394111485 - timing_per_token_ms/gen:1.3566852544320873 - perf/total_num_tokens:10081 - perf/time_per_step:82.87399073399138 - perf/throughput:40.54750234146825
step:3 - global_seqlen/min:3472 - global_seqlen/max:3656 - global_seqlen/minmax_diff:184 - global_seqlen/balanced_min:3536 - global_seqlen/balanced_max:3549 - global_seqlen/mean:3544.0 - actor/entropy:1.717475175857544 - perf/mfu/actor_infer:0 - actor/pg_loss:2.3541765074390025e-08 - actor/kl_loss:0.0008423084064917121 - actor/pg_clipfrac:0.0 - actor/ppo_kl:0.0 - actor/pg_clipfrac_lower:0.0 - actor/kl_coef:0.01 - actor/grad_norm:0.25698235630989075 - perf/mfu/actor:0.0 - perf/max_memory_allocated_gb:24.41482639312744 - perf/max_memory_reserved_gb:24.5859375 - perf/cpu_memory_used_gb:33.400970458984375 - actor/lr:1e-05 - training/global_step:3 - training/epoch:0 - train/reward_mean:1.875897141173482 - critic/score/mean:1.8758970499038696 - critic/score/max:4.447780609130859 - critic/score/min:-1.7180027961730957 - critic/rewards/mean:1.8758970499038696 - critic/rewards/max:4.447780609130859 - critic/rewards/min:-1.7180027961730957 - critic/advantages/mean:-0.0037101078778505325 - critic/advantages/max:2.133307456970215 - critic/advantages/min:-1.7591304779052734 - critic/returns/mean:-0.0037101078778505325 - critic/returns/max:2.133307456970215 - critic/returns/min:-1.7591304779052734 - response_length/mean:127.77777862548828 - response_length/max:128.0 - response_length/min:112.0 - response_length/clip_ratio:0.9861111044883728 - response_length_non_aborted/mean:127.77777862548828 - response_length_non_aborted/max:128.0 - response_length_non_aborted/min:112.0 - response_length_non_aborted/clip_ratio:0.9861111044883728 - response/aborted_ratio:0.0 - prompt_length/mean:19.88888931274414 - prompt_length/max:41.0 - prompt_length/min:12.0 - prompt_length/clip_ratio:0.0 - num_turns/min:2 - num_turns/max:2 - num_turns/mean:2.0 - timing_s/start_profile:0.00011094298679381609 - timing_s/agent_loop/generate_sequences/min:0.9283847660408355 - timing_s/agent_loop/generate_sequences/max:4.711489323002752 - timing_s/agent_loop/generate_sequences/mean:3.754002356015715 - timing_s/agent_loop/tool_calls/min:0.0 - timing_s/agent_loop/tool_calls/max:0.0 - timing_s/agent_loop/tool_calls/mean:0.0 - timing_s/agent_loop/slowest/generate_sequences:4.711489323002752 - timing_s/agent_loop/slowest/tool_calls:0.0 - timing_s/agent_loop/slowest/prompt_length:12 - timing_s/agent_loop/slowest/response_length:128 - timing_s/gen:12.064331624016631 - timing_s/reward:1.2713741169427522 - timing_s/old_log_prob:14.28830359497806 - timing_s/ref:10.46375407098094 - timing_s/adv:0.004996271978598088 - timing_s/update_actor:44.45123714499641 - timing_s/step:82.56659736699658 - timing_s/stop_profile:0.00012007402256131172 - timing_per_token_ms/ref:0.9841755145768378 - timing_per_token_ms/adv:0.00046992776322404893 - timing_per_token_ms/update_actor:4.180891379326224 - timing_per_token_ms/gen:1.3113403939148511 - perf/total_num_tokens:10632 - perf/time_per_step:82.56659736699658 - perf/throughput:42.92292661943465
step:4 - global_seqlen/min:3304 - global_seqlen/max:3439 - global_seqlen/minmax_diff:135 - global_seqlen/balanced_min:3366 - global_seqlen/balanced_max:3409 - global_seqlen/mean:3391.3333333333335 - actor/entropy:1.7213023900985718 - perf/mfu/actor_infer:0 - actor/pg_loss:6.16063415345471e-08 - actor/kl_loss:0.0008143099888305491 - actor/pg_clipfrac:0.0 - actor/ppo_kl:0.0 - actor/pg_clipfrac_lower:0.0 - actor/kl_coef:0.01 - actor/grad_norm:0.29335299134254456 - perf/mfu/actor:0.0 - perf/max_memory_allocated_gb:24.41482639312744 - perf/max_memory_reserved_gb:24.5859375 - perf/cpu_memory_used_gb:33.42132568359375 - actor/lr:1e-05 - training/global_step:4 - training/epoch:0 - train/reward_mean:1.3281549621994297 - critic/score/mean:1.3281550407409668 - critic/score/max:3.5639262199401855 - critic/score/min:-2.275324821472168 - critic/rewards/mean:1.3281550407409668 - critic/rewards/max:3.5639262199401855 - critic/rewards/min:-2.275324821472168 - critic/advantages/mean:0.03572741150856018 - critic/advantages/max:1.5911052227020264 - critic/advantages/min:-2.178112268447876 - critic/returns/mean:0.03572741150856018 - critic/returns/max:1.5911052227020264 - critic/returns/min:-2.178112268447876 - response_length/mean:123.41666412353516 - response_length/max:128.0 - response_length/min:13.0 - response_length/clip_ratio:0.9027777910232544 - response_length_non_aborted/mean:123.41666412353516 - response_length_non_aborted/max:128.0 - response_length_non_aborted/min:13.0 - response_length_non_aborted/clip_ratio:0.9027777910232544 - response/aborted_ratio:0.0 - prompt_length/mean:17.88888931274414 - prompt_length/max:27.0 - prompt_length/min:10.0 - prompt_length/clip_ratio:0.0 - num_turns/min:2 - num_turns/max:2 - num_turns/mean:2.0 - timing_s/start_profile:8.887198055163026e-05 - timing_s/agent_loop/generate_sequences/min:0.1325138210086152 - timing_s/agent_loop/generate_sequences/max:4.406845923978835 - timing_s/agent_loop/generate_sequences/mean:2.811471166261375 - timing_s/agent_loop/tool_calls/min:0.0 - timing_s/agent_loop/tool_calls/max:0.0 - timing_s/agent_loop/tool_calls/mean:0.0 - timing_s/agent_loop/slowest/generate_sequences:4.406845923978835 - timing_s/agent_loop/slowest/tool_calls:0.0 - timing_s/agent_loop/slowest/prompt_length:10 - timing_s/agent_loop/slowest/response_length:128 - timing_s/gen:12.178348288987763 - timing_s/reward:1.1321106529794633 - timing_s/old_log_prob:14.333510871976614 - timing_s/ref:10.480519947013818 - timing_s/adv:0.005369642982259393 - timing_s/update_actor:44.4152677320526 - timing_s/step:82.56774728000164 - timing_s/stop_profile:0.00013675400987267494 - timing_per_token_ms/ref:1.0301277714776702 - timing_per_token_ms/adv:0.0005277809103852362 - timing_per_token_ms/update_actor:4.365565926091271 - timing_per_token_ms/gen:1.3705095981305158 - perf/total_num_tokens:10174 - perf/time_per_step:82.56774728000164 - perf/throughput:41.07334213482572
step:5 - global_seqlen/min:3287 - global_seqlen/max:3365 - global_seqlen/minmax_diff:78 - global_seqlen/balanced_min:3334 - global_seqlen/balanced_max:3338 - global_seqlen/mean:3335.6666666666665 - actor/entropy:1.8631082773208618 - perf/mfu/actor_infer:0 - actor/pg_loss:-1.4875290813935276e-09 - actor/kl_loss:0.0009014995650634066 - actor/pg_clipfrac:0.0 - actor/ppo_kl:0.0 - actor/pg_clipfrac_lower:0.0 - actor/kl_coef:0.01 - actor/grad_norm:0.2863883376121521 - perf/mfu/actor:0.0 - perf/max_memory_allocated_gb:24.41482639312744 - perf/max_memory_reserved_gb:24.5859375 - perf/cpu_memory_used_gb:33.423065185546875 - actor/lr:1e-05 - training/global_step:5 - training/epoch:0 - train/reward_mean:1.0971380326276023 - critic/score/mean:1.0971380472183228 - critic/score/max:3.6824018955230713 - critic/score/min:-3.3173110485076904 - critic/rewards/mean:1.0971380472183228 - critic/rewards/max:3.6824018955230713 - critic/rewards/min:-3.3173110485076904 - critic/advantages/mean:0.0204730536788702 - critic/advantages/max:1.8149305582046509 - critic/advantages/min:-1.7981027364730835 - critic/returns/mean:0.0204730536788702 - critic/returns/max:1.8149305582046509 - critic/returns/min:-1.7981027364730835 - response_length/mean:123.09722137451172 - response_length/max:128.0 - response_length/min:30.0 - response_length/clip_ratio:0.9166666865348816 - response_length_non_aborted/mean:123.09722137451172 - response_length_non_aborted/max:128.0 - response_length_non_aborted/min:30.0 - response_length_non_aborted/clip_ratio:0.9166666865348816 - response/aborted_ratio:0.0 - prompt_length/mean:15.88888931274414 - prompt_length/max:27.0 - prompt_length/min:11.0 - prompt_length/clip_ratio:0.0 - num_turns/min:2 - num_turns/max:2 - num_turns/mean:2.0 - timing_s/start_profile:9.258300997316837e-05 - timing_s/agent_loop/generate_sequences/min:0.2547025080421008 - timing_s/agent_loop/generate_sequences/max:4.5855021480238065 - timing_s/agent_loop/generate_sequences/mean:3.3629880561307397 - timing_s/agent_loop/tool_calls/min:0.0 - timing_s/agent_loop/tool_calls/max:0.0 - timing_s/agent_loop/tool_calls/mean:0.0 - timing_s/agent_loop/slowest/generate_sequences:4.5855021480238065 - timing_s/agent_loop/slowest/tool_calls:0.0 - timing_s/agent_loop/slowest/prompt_length:11 - timing_s/agent_loop/slowest/response_length:128 - timing_s/gen:12.218696785974316 - timing_s/reward:1.2027757239993662 - timing_s/old_log_prob:14.273112702998333 - timing_s/ref:10.454690211976413 - timing_s/adv:0.005031943961512297 - timing_s/update_actor:44.39315433194861 - timing_s/step:82.57077431504149 - timing_s/stop_profile:0.00011220300802960992 - timing_per_token_ms/ref:1.0447377048042783 - timing_per_token_ms/adv:0.000502842406466703 - timing_per_token_ms/update_actor:4.436210086134567 - timing_per_token_ms/gen:1.378618615138702 - perf/total_num_tokens:10007 - perf/time_per_step:82.57077431504149 - perf/throughput:40.397667265898775
step:6 - global_seqlen/min:3385 - global_seqlen/max:3616 - global_seqlen/minmax_diff:231 - global_seqlen/balanced_min:3455 - global_seqlen/balanced_max:3473 - global_seqlen/mean:3467.0 - actor/entropy:1.4684869050979614 - perf/mfu/actor_infer:0 - actor/pg_loss:-6.124739429513859e-08 - actor/kl_loss:0.0008129509345356686 - actor/pg_clipfrac:0.0 - actor/ppo_kl:0.0 - actor/pg_clipfrac_lower:0.0 - actor/kl_coef:0.01 - actor/grad_norm:0.25314104557037354 - perf/mfu/actor:0.0 - perf/max_memory_allocated_gb:24.41482639312744 - perf/max_memory_reserved_gb:24.5859375 - perf/cpu_memory_used_gb:33.42833709716797 - actor/lr:1e-05 - training/global_step:6 - training/epoch:0 - train/reward_mean:1.7457837160262797 - critic/score/mean:1.745783805847168 - critic/score/max:4.235982894897461 - critic/score/min:-0.4896560609340668 - critic/rewards/mean:1.745783805847168 - critic/rewards/max:4.235982894897461 - critic/rewards/min:-0.4896560609340668 - critic/advantages/mean:-0.004539864603430033 - critic/advantages/max:1.7581777572631836 - critic/advantages/min:-2.3141262531280518 - critic/returns/mean:-0.004539864603430033 - critic/returns/max:1.7581777572631836 - critic/returns/min:-2.3141262531280518 - response_length/mean:127.56944274902344 - response_length/max:128.0 - response_length/min:97.0 - response_length/clip_ratio:0.9861111044883728 - response_length_non_aborted/mean:127.56944274902344 - response_length_non_aborted/max:128.0 - response_length_non_aborted/min:97.0 - response_length_non_aborted/clip_ratio:0.9861111044883728 - response/aborted_ratio:0.0 - prompt_length/mean:16.88888931274414 - prompt_length/max:26.0 - prompt_length/min:11.0 - prompt_length/clip_ratio:0.0 - num_turns/min:2 - num_turns/max:2 - num_turns/mean:2.0 - timing_s/start_profile:9.529298404231668e-05 - timing_s/agent_loop/generate_sequences/min:0.7957895739818923 - timing_s/agent_loop/generate_sequences/max:4.580146645952482 - timing_s/agent_loop/generate_sequences/mean:3.2452958754034222 - timing_s/agent_loop/tool_calls/min:0.0 - timing_s/agent_loop/tool_calls/max:0.0 - timing_s/agent_loop/tool_calls/mean:0.0 - timing_s/agent_loop/slowest/generate_sequences:4.580146645952482 - timing_s/agent_loop/slowest/tool_calls:0.0 - timing_s/agent_loop/slowest/prompt_length:11 - timing_s/agent_loop/slowest/response_length:128 - timing_s/gen:12.144781943003181 - timing_s/reward:1.3650390709517524 - timing_s/old_log_prob:14.330005782016087 - timing_s/ref:10.470465252001304 - timing_s/adv:0.005331291991751641 - timing_s/update_actor:44.57550701103173 - timing_s/step:82.91240360599477 - timing_s/stop_profile:0.00012934301048517227 - timing_per_token_ms/ref:1.0066787089704168 - timing_per_token_ms/adv:0.000512574943923819 - timing_per_token_ms/update_actor:4.285694357372535 - timing_per_token_ms/gen:1.3222408212306132 - perf/total_num_tokens:10401 - perf/time_per_step:82.91240360599477 - perf/throughput:41.815215205621264
step:7 - global_seqlen/min:3430 - global_seqlen/max:3872 - global_seqlen/minmax_diff:442 - global_seqlen/balanced_min:3583 - global_seqlen/balanced_max:3584 - global_seqlen/mean:3583.3333333333335 - actor/entropy:1.784579873085022 - perf/mfu/actor_infer:0 - actor/pg_loss:-2.224826145073392e-09 - actor/kl_loss:0.000873317967084909 - actor/pg_clipfrac:0.0 - actor/ppo_kl:0.0 - actor/pg_clipfrac_lower:0.0 - actor/kl_coef:0.01 - actor/grad_norm:0.26738500595092773 - perf/mfu/actor:0.0 - perf/max_memory_allocated_gb:24.41482639312744 - perf/max_memory_reserved_gb:24.5859375 - perf/cpu_memory_used_gb:33.438201904296875 - actor/lr:1e-05 - training/global_step:7 - training/epoch:0 - train/reward_mean:0.4416771653211779 - critic/score/mean:0.4416772127151489 - critic/score/max:4.049424171447754 - critic/score/min:-2.2345869541168213 - critic/rewards/mean:0.4416772127151489 - critic/rewards/max:4.049424171447754 - critic/rewards/min:-2.2345869541168213 - critic/advantages/mean:-0.00046197333722375333 - critic/advantages/max:2.1283531188964844 - critic/advantages/min:-2.001971483230591 - critic/returns/mean:-0.00046197333722375333 - critic/returns/max:2.1283531188964844 - critic/returns/min:-2.001971483230591 - response_length/mean:127.97222137451172 - response_length/max:128.0 - response_length/min:126.0 - response_length/clip_ratio:0.9861111044883728 - response_length_non_aborted/mean:127.97222137451172 - response_length_non_aborted/max:128.0 - response_length_non_aborted/min:126.0 - response_length_non_aborted/clip_ratio:0.9861111044883728 - response/aborted_ratio:0.0 - prompt_length/mean:21.33333396911621 - prompt_length/max:44.0 - prompt_length/min:11.0 - prompt_length/clip_ratio:0.0 - num_turns/min:2 - num_turns/max:2 - num_turns/mean:2.0 - timing_s/start_profile:9.413203224539757e-05 - timing_s/agent_loop/generate_sequences/min:0.9814047649852 - timing_s/agent_loop/generate_sequences/max:4.508923489018343 - timing_s/agent_loop/generate_sequences/mean:3.330685501269828 - timing_s/agent_loop/tool_calls/min:0.0 - timing_s/agent_loop/tool_calls/max:0.0 - timing_s/agent_loop/tool_calls/mean:0.0 - timing_s/agent_loop/slowest/generate_sequences:4.508923489018343 - timing_s/agent_loop/slowest/tool_calls:0.0 - timing_s/agent_loop/slowest/prompt_length:11 - timing_s/agent_loop/slowest/response_length:128 - timing_s/gen:12.011260174040217 - timing_s/reward:1.2646331050200388 - timing_s/old_log_prob:14.341606892005075 - timing_s/ref:10.461993200005963 - timing_s/adv:0.005052872991655022 - timing_s/update_actor:44.56309831904946 - timing_s/step:82.66982039500726 - timing_s/stop_profile:0.0001101940288208425 - timing_per_token_ms/ref:0.9732086697679966 - timing_per_token_ms/adv:0.00047003469689814155 - timing_per_token_ms/update_actor:4.145404494795298 - timing_per_token_ms/gen:1.3035880371217947 - perf/total_num_tokens:10750 - perf/time_per_step:82.66982039500726 - perf/throughput:43.34512057981614
step:8 - global_seqlen/min:3360 - global_seqlen/max:3469 - global_seqlen/minmax_diff:109 - global_seqlen/balanced_min:3401 - global_seqlen/balanced_max:3422 - global_seqlen/mean:3413.3333333333335 - actor/entropy:1.6828638315200806 - perf/mfu/actor_infer:0 - actor/pg_loss:-2.1730860069735236e-08 - actor/kl_loss:0.0008740731678295158 - actor/pg_clipfrac:0.0 - actor/ppo_kl:0.0 - actor/pg_clipfrac_lower:0.0 - actor/kl_coef:0.01 - actor/grad_norm:0.25867152214050293 - perf/mfu/actor:0.0 - perf/max_memory_allocated_gb:24.41482639312744 - perf/max_memory_reserved_gb:24.5859375 - perf/cpu_memory_used_gb:33.44023895263672 - actor/lr:1e-05 - training/global_step:8 - training/epoch:0 - train/reward_mean:1.111935445211 - critic/score/mean:1.1119354963302612 - critic/score/max:3.3749821186065674 - critic/score/min:-2.178755283355713 - critic/rewards/mean:1.1119354963302612 - critic/rewards/max:3.3749821186065674 - critic/rewards/min:-2.178755283355713 - critic/advantages/mean:-0.006390243303030729 - critic/advantages/max:1.9267991781234741 - critic/advantages/min:-1.6576471328735352 - critic/returns/mean:-0.006390243303030729 - critic/returns/max:1.9267991781234741 - critic/returns/min:-1.6576471328735352 - response_length/mean:127.55555725097656 - response_length/max:128.0 - response_length/min:99.0 - response_length/clip_ratio:0.9722222089767456 - response_length_non_aborted/mean:127.55555725097656 - response_length_non_aborted/max:128.0 - response_length_non_aborted/min:99.0 - response_length_non_aborted/clip_ratio:0.9722222089767456 - response/aborted_ratio:0.0 - prompt_length/mean:14.666666984558105 - prompt_length/max:24.0 - prompt_length/min:10.0 - prompt_length/clip_ratio:0.0 - num_turns/min:2 - num_turns/max:2 - num_turns/mean:2.0 - timing_s/start_profile:0.00012365402653813362 - timing_s/agent_loop/generate_sequences/min:0.8045706439879723 - timing_s/agent_loop/generate_sequences/max:4.483666700019967 - timing_s/agent_loop/generate_sequences/mean:3.389181763124523 - timing_s/agent_loop/tool_calls/min:0.0 - timing_s/agent_loop/tool_calls/max:0.0 - timing_s/agent_loop/tool_calls/mean:0.0 - timing_s/agent_loop/slowest/generate_sequences:4.483666700019967 - timing_s/agent_loop/slowest/tool_calls:0.0 - timing_s/agent_loop/slowest/prompt_length:12 - timing_s/agent_loop/slowest/response_length:128 - timing_s/gen:11.811364825989585 - timing_s/reward:1.2626395280240104 - timing_s/old_log_prob:14.356426263984758 - timing_s/ref:10.464288165967446 - timing_s/adv:0.006952836993150413 - timing_s/update_actor:44.57555363199208 - timing_s/step:82.49946912599262 - timing_s/stop_profile:0.0001291140215471387 - timing_per_token_ms/ref:1.0219031412077584 - timing_per_token_ms/adv:0.000678987987612345 - timing_per_token_ms/update_actor:4.3530814093742265 - timing_per_token_ms/gen:1.2860806648507823 - perf/total_num_tokens:10240 - perf/time_per_step:82.49946912599262 - perf/throughput:41.374003608684006
step:9 - global_seqlen/min:3341 - global_seqlen/max:3550 - global_seqlen/minmax_diff:209 - global_seqlen/balanced_min:3429 - global_seqlen/balanced_max:3444 - global_seqlen/mean:3435.6666666666665 - actor/entropy:1.8075131177902222 - perf/mfu/actor_infer:0 - actor/pg_loss:-3.122517631496772e-08 - actor/kl_loss:0.0008752490321057849 - actor/pg_clipfrac:0.0 - actor/ppo_kl:0.0 - actor/pg_clipfrac_lower:0.0 - actor/kl_coef:0.01 - actor/grad_norm:0.27745532989501953 - perf/mfu/actor:0.0 - perf/max_memory_allocated_gb:24.41482639312744 - perf/max_memory_reserved_gb:24.5859375 - perf/cpu_memory_used_gb:33.44184112548828 - actor/lr:1e-05 - training/global_step:9 - training/epoch:0 - train/reward_mean:0.809113103378978 - critic/score/mean:0.809113085269928 - critic/score/max:4.797796249389648 - critic/score/min:-3.9374136924743652 - critic/rewards/mean:0.809113085269928 - critic/rewards/max:4.797796249389648 - critic/rewards/min:-3.9374136924743652 - critic/advantages/mean:-0.013861940242350101 - critic/advantages/max:1.6856592893600464 - critic/advantages/min:-1.8883275985717773 - critic/returns/mean:-0.013861940242350101 - critic/returns/max:1.6856592893600464 - critic/returns/min:-1.8883275985717773 - response_length/mean:126.81944274902344 - response_length/max:128.0 - response_length/min:92.0 - response_length/clip_ratio:0.9583333134651184 - response_length_non_aborted/mean:126.81944274902344 - response_length_non_aborted/max:128.0 - response_length_non_aborted/min:92.0 - response_length_non_aborted/clip_ratio:0.9583333134651184 - response/aborted_ratio:0.0 - prompt_length/mean:16.33333396911621 - prompt_length/max:27.0 - prompt_length/min:12.0 - prompt_length/clip_ratio:0.0 - num_turns/min:2 - num_turns/max:2 - num_turns/mean:2.0 - timing_s/start_profile:0.00012424401938915253 - timing_s/agent_loop/generate_sequences/min:0.7265223930007778 - timing_s/agent_loop/generate_sequences/max:4.370602292998228 - timing_s/agent_loop/generate_sequences/mean:3.1204986054589323 - timing_s/agent_loop/tool_calls/min:0.0 - timing_s/agent_loop/tool_calls/max:0.0 - timing_s/agent_loop/tool_calls/mean:0.0 - timing_s/agent_loop/slowest/generate_sequences:4.370602292998228 - timing_s/agent_loop/slowest/tool_calls:0.0 - timing_s/agent_loop/slowest/prompt_length:12 - timing_s/agent_loop/slowest/response_length:128 - timing_s/gen:11.990501852997113 - timing_s/reward:1.1271246109972708 - timing_s/old_log_prob:14.276888469990809 - timing_s/ref:10.458160891022999 - timing_s/adv:0.00481230701552704 - timing_s/update_actor:44.57536124699982 - timing_s/step:82.45434988400666 - timing_s/stop_profile:0.00011230399832129478 - timing_per_token_ms/ref:1.0146658475815464 - timing_per_token_ms/adv:0.00046689696473532934 - timing_per_token_ms/update_actor:4.324765814203921 - timing_per_token_ms/gen:1.3131641499284978 - perf/total_num_tokens:10307 - perf/time_per_step:82.45434988400666 - perf/throughput:41.667500519982504
